ID,post_title,post_content,post_excerpt
116133,"LEXINGTON","The Lexington system has strong architectural connotations. It is characterized by wall-mounted and floor-to-ceiling, onto which shelves and storage units with leaf doors, drawers or flap doors are hooked at the desired height. The upright is available in a champagne or ardesia painted finish, or in gold oak and black elm, with a warmer feeling. In the ceiling upright version, the system offers the possibility of designing double-sided compositions finished on both sides, ideal in the center of the room also for dividing spaces. Lexington is also available in a night system version.&nbsp;&nbsp;","Lexington è un sistema dalla forte connotazione architettonica. È caratterizzato dai montanti a soffitto o a parete, su cui si agganciano – all’altezza desiderata – ripiani e contenitori con ante battenti, cassetti o ante a ribalta."
79006,"SYMPHONY","Symphony is a collection of sideboards where the simplicity of the lines is expressed through fine materials and accurate workmanship. The sideboards have an elliptical shape, enhanced by the wood finish. The collection includes elements of different heights and sizes, from the high and medium versions with doors to the low version with drawers or with drawer and open compartment, all on a base with feet.","Symphony is a collection of sideboards where the simplicity of the lines is expressed through fine materials and accurate workmanship. The sideboards have an elliptical shape, enhanced by the wood finish. The collection includes elements of different heights and sizes, from the high and medium versions with doors to the low version with drawers or…"
79274,"BRISTOL","The enveloping comfort of the cushions and the lightness of the armrests distinguish the style of Bristol, a system that offers maximum compositional versatility, between the minimalism of the design and the generous proportions. Available with simple, double, or free cushions, the Bristol sofa can be enriched with accessory elements such as the Bristol System coffee tables, headrest, writing desk – to create relaxation areas in line with your needs and personality.","The enveloping comfort of the cushions and the lightness of the armrests distinguish the style of Bristol, a system that offers maximum compositional versatility, between the minimalism of the design and the generous proportions. Available with simple, double, or free cushions, the Bristol sofa can be enriched with accessory elements such as the Bristol System coffee tables, headrest, writing desk – to create relaxation areas in line with your needs and personality."
79331,"KAY LOUNGE","Elegant, light and essential, Kay Lounge is an armchair with an innate modern appeal. It features an architecturally inspired linear structure in satin-finished or brown lacquered metal. The large, welcoming and comfortable seat and backrest are available in three finishes: leather with raw edges, leather and fabric, as well as Hairy leather and woven leather, upholstered finishes selected exclusively for this model. With its contemporary lines and distinctive upholstery, Kay Lounge stands out in any context: on its own or with the distinctive footrest, as a complement to large living areas or public spaces, it is a chair that reinterprets the most current tastes and requirements, blending design and comfort.","Elegant, light and essential, Kay Lounge is an armchair with an innate modern appeal. It features an architecturally inspired linear structure in satin-finished or brown lacquered metal. The large, welcoming and comfortable seat and backrest are available in three finishes: leather with raw edges, leather and fabric, as well as Hairy leather and woven leather, upholstered finishes selected exclusively for this model. With its contemporary lines and distinctive upholstery, Kay Lounge stands out in any context: on its own or with the distinctive footrest, as a complement to large living areas or public spaces, it is a chair that reinterprets the most current tastes and requirements, blending design and comfort."
79354,"LE CLUB","The Le Club armchair reinterprets one of the design archetypes of the last century in a contemporary key. The lightweight and minimal design of the voluminous leather club armchair is rendered more up-to-date. Le Club retains the curved lines and unparalleled comfort of the armchairs from which it takes its inspiration but lightens bulk to imbue a more casual, contemporary elegance that echoes the design forms of the 1970s. The fabric or leather upholstery is not removable; by adhering perfectly to the steel frame and the moulded flexible polyurethane seat, it is at one with the design of the armchair, a testimony to masterful and high-quality craftsmanship.","The Le Club armchair reinterprets one of the design archetypes of the last century in a contemporary key. The lightweight and minimal design of the voluminous leather club armchair is rendered more up-to-date. Le Club retains the curved lines and unparalleled comfort of the armchairs from which it takes its inspiration but lightens bulk to imbue a more casual, contemporary elegance that echoes the design forms of the 1970s. The fabric or leather upholstery is not removable; by adhering perfectly to the steel frame and the moulded flexible polyurethane seat, it is at one with the design of the armchair, a testimony to masterful and high-quality craftsmanship."
79122,"FRAME","Frame is a contemporary rug composed of bamboo silk, a material that confers a distinctive iridescent appearance. Available in oval or rectangular versions, this version features tone-on-tone monochrome edging in Himalayan wool.","Frame is a contemporary rug composed of bamboo silk, a material that confers a distinctive iridescent appearance. Available in oval or rectangular versions, this version features tone-on-tone monochrome edging in Himalayan wool."
79033,"SHAPE","Shape is a kitchen with a contemporary feel that combines the functionality of doors with handles with the sleek aesthetic of handleless cabinets. On the base units, the handle profile is positioned in the centre or at the side, while it takes the form of a full-length moulding on the tall units. Shape is enhanced with elements and accessories designed to improve the experience of those who use the kitchen every day, such as the worktop with a fully equipped and cantilevered sink featuring the Minus leg, the Infinity range hood with a luminous extractor unit, a plant grow light unit, luminous modules with glass display cases and the Moon breakfast bar with rotating insert. A modern kitchen with an exclusive selection of materials.","Shape è una cucina dallo stile contemporaneo che unisce la funzionalità delle ante con maniglia all’estetica essenziale di quelle senza. Nelle basi, il profilo con maniglia è integrato al centro dell’anta o lateralmente, mentre nelle colonne assume l’aspetto di una modanatura a tutta altezza. Shape si completa con elementi e accessori pensati per migliorare l’esperienza di chi vive la cucina ogni giorno, come il piano di lavoro con invaso attrezzato e a sbalzo con gamba Minus, la cappa Infinity con moduli luminoso aspirante, luminoso fitostimolante e luminoso con teca in vetro e il tavolo snack Moon con inserto girevole. Una cucina moderna con un’esclusiva selezione dei materiali."
79125,"PLAIN","Rectangular or round, the Plain carpet is made of a blend of aloe and bamboo silk, two very resistant materials of excellent quality. Available in five colours, it is characterized in both ver- sions by the darker sections of the same hue.","Rectangular or round, the Plain carpet is made of a blend of aloe and bamboo silk, two very resistant materials of excellent quality. Available in five colours, it is characterized in both ver- sions by the darker sections of the same hue."
105300,"LEXINGTON","Lexington is a pillar-based bedroom system available in two configurations: wall or ceiling, in the latter case with the possibility of designing double-sided compositions finished on both sides. Shelves, drawers, and a wide range of equipment – the same as the Senzafine system – are hooked into the uprights with a champagne or grey slate painted finish. Also available in a day version, thanks to its infinite flexibility in terms of dimensions, applications and finishes, Lexington marks an evolution in the world of systems, with a view to total integration across the different rooms of the house.","Lexington is a pillar-based bedroom system available in two configurations: wall or ceiling, in the latter case with the possibility of designing double-sided compositions finished on both sides. Shelves, drawers, and a wide range of equipment – the same as the Senzafine system – are hooked into the uprights with a champagne or grey slate painted finish."
79004,"DROP","Elegant and precious, Drop is a generously sized round mirror. It features a leather frame that incorporates the strap used to hang it on the wall.","Elegant and precious, Drop is a generously sized round mirror. It features a leather frame that incorporates the strap used to hang it on the wall."
79048,"RELIEF","The Relief carpet combines a ribbed effect with a border decoration, obtained by cutting the pile at different heights. Available in perla, cammello and tortora colours, it is made from a blend of Himalayan wool and silk bamboo, a combination that emphasises softness and is pleasant to the touch.","The Relief rug combines a ribbed effect with a border decoration, obtained by cutting the pile at different heights. Available in pearl, camel and dove grey colours, it is made from a blend of Himalayan wool and silk bamboo, a combination that emphasises softness and is pleasant to the touch."
126001,"CANNELÉ","Cannel  is a two-coloured carpet characterized by a striped pattern. What further defines the difference of the stripes is the juxtaposition of two techniques – boucl  for the nero, hand-cut fleece for the perla. The weft is made of cotton, the fleece in Himalayan wool and bamboo silk, the boucl  in Himalayan wool. The carpet is produced by hand with the traditional handloom technique.","Cannel  is a two-coloured carpet characterized by a striped pattern. What further defines the difference of the stripes is the juxtaposition of two techniques – boucl  for the nero, hand-cut fleece for the perla. The weft is made of cotton, the fleece in Himalayan wool and bamboo silk, the boucl  in Himalayan wool. The carpet…"
79253,"HENRY","Henry is a collection of coffee tables with a linear look, with a marble or glass top and a wooden structure. Available in various shapes and sizes, they can be used indivi- dually or in combination.","Henry is a collection of coffee tables with a linear look, with a marble or glass top and a wooden structure. Available in various shapes and sizes, they can be used indivi- dually or in combination."
105382,"SYMPHONY","Symphony is a collection of sideboards where the simplicity of the lines is expressed through fine materials and accurate workmanship. The sideboards have an elliptical shape, enhanced by the wood finish. The collection includes elements of different heights and sizes, from the high and medium versions with doors to the low version with drawers or with drawer and open compartment, all on a base with feet.","Symphony is a collection of sideboards where the simplicity of the lines is expressed through fine materials and accurate workmanship. The sideboards have an elliptical shape, enhanced by the wood finish. The collection includes elements of different heights and sizes, from the high and medium versions with doors to the low version with drawers or…"
79030,"PHOENIX","Born from a design idea by Poliform, Phoenix is a kitchen that invites you to design your spaces with supreme freedom. This is made possible by the special design of the groove opening, which transforms a technical detail such as the handle, a fundamental element that improves user experience in the kitchen, into an aesthetic detail. In addition to the convenient opening action and easy handling of the door, the handle's linear appearance enriches the composition with a light, contemporary style. Among designers, Phoenix is one of the most popular kitchen models on the market; they appreciate its flexibility and the customisation options of the overall design and finishes.","Nata da un’intuizione progettuale di Poliform, Phoenix è una cucina che invita alla libertà di progettazione. Merito del particolare disegno dell’apertura a gola, che trasforma un dettaglio tecnico come la maniglia, fondamentale per migliorare l’esperienza d’uso in cucina, in un dettaglio estetico. Oltre alla praticità dell’apertura e alla maneggevolezza dell’anta, l’aspetto lineare della maniglia dà uno stile leggero e contemporaneo alla composizione. Phoenix è uno dei modelli di cucina più amati dai progettisti, che ne apprezzano la flessibilità e le possibilità di personalizzazione del disegno e delle finiture."
