ID,post_title,post_content,post_excerpt
116129,"LEXINGTON","Lexington est un système à forte connotation architecturale. Il se caractérise par des montants de plafond ou muraux, sur lesquels des étagères et des meubles de rangement avec des portes battantes, des tiroirs ou des portes pliantes sont accrochés à la hauteur souhaitée. Le montant est disponible dans une finition peinte en champagne ou ardesia, ou en chêne doré et orme noir, avec une sensation plus chaleureuse. Dans la version avec montant de plafond, le système offre la possibilité de concevoir des compositions à double face finies des deux côtés, idéales au centre de la pièce également pour diviser les espaces. Lexington est également disponible en version système de nuit.","Lexington est un système à forte connotation architecturale. Il se caractérise par des montants de plafond ou muraux, sur lesquels des étagères et des meubles de rangement avec des portes battantes, des tiroirs ou des portes pliantes sont accrochés à la hauteur souhaitée. Le montant est disponible dans une finition peinte en champagne ou ardesia, ou en chêne doré et orme noir, avec une sensation plus chaleureuse. Dans la version avec montant de plafond, le système offre la possibilité de concevoir des compositions à double face finies des deux côtés, idéales au centre de la pièce également pour diviser les espaces. Lexington est également disponible en version système de nuit."
73856,"BRISTOL","Le confort enveloppant des coussins et la légèreté des accoudoirs caractérisent l’esthétique de Bristol, un système de canapés contemporain qui, entre design épuré et proportions généreuses, offre une polyvalence de composition maximale. Disponible avec des coussins simples, doubles ou librement disposés, le canapé Bristol peut être enrichi d’éléments accessoires tels que les tables basses Bristol System, l’appui-tête ou le plateau de bureau, pour créer des espaces de détente en adéquation avec vos besoins et votre personnalité.","Le confort enveloppant des coussins et la légèreté des accoudoirs caractérisent l’esthétique de Bristol, un système de canapés contemporain qui, entre design épuré et proportions généreuses, offre une polyvalence de composition maximale. Disponible avec des coussins simples, doubles ou librement disposés, le canapé Bristol peut être enrichi d’éléments accessoires tels que les tables basses Bristol System, l’appui-tête ou le plateau de bureau, pour créer des espaces de détente en adéquation avec vos besoins et votre personnalité."
73913,"KAY LOUNGE","Élégant, léger et épuré, Kay Lounge est un fauteuil à la modernité innée. Il se caractérise par une structure linéaire d’inspiration architecturale en métal satiné ou verni brun. L’assise et le dossier - larges, accueillants et confortables - sont disponibles dans trois finitions : cuir à bords vifs, cuir et tissu, ainsi qu’en cuir Hairy et cuir tressé, des revêtements sélectionnée exclusivement pour ce modèle. Avec ses lignes contemporaines et ses revêtements particuliers, Kay Lounge se démarque dans tous les contextes : seul ou avec le repose-pieds caractéristique, en complément de grands espaces de vie ou d’espaces communs, c’est un siège qui réinterprète les goûts et les besoins les plus actuels, entre design et confort.","Élégant, léger et épuré, Kay Lounge est un fauteuil à la modernité innée. Il se caractérise par une structure linéaire d’inspiration architecturale en métal satiné ou verni brun. L’assise et le dossier - larges, accueillants et confortables - sont disponibles dans trois finitions : cuir à bords vifs, cuir et tissu, ainsi qu’en cuir Hairy et cuir tressé, des revêtements sélectionnée exclusivement pour ce modèle. Avec ses lignes contemporaines et ses revêtements particuliers, Kay Lounge se démarque dans tous les contextes : seul ou avec le repose-pieds caractéristique, en complément de grands espaces de vie ou d’espaces communs, c’est un siège qui réinterprète les goûts et les besoins les plus actuels, entre design et confort."
73937,"LE CLUB","Le fauteuil Le Club réinterprète avec une touche contemporaine l’un des archétypes du design du siècle dernier, le volumineux fauteuil club en cuir, en le rendant plus actuel, léger et épuré. Le Club conserve les lignes courbes et le confort inégalé des fauteuils qui l’inspirent, mais allège le volume au nom d’une élégance plus décontractée et contemporaine, qui rappelle les formes du design des années soixante-dix. Le revêtement, en tissu ou en cuir, n’est pas amovible: adhérant parfaitement à la structure en acier avec assise en polyuréthane moulé souple, il fait corps avec le design du fauteuil, démontrant une très haute qualité de réalisation.","Le fauteuil Le Club réinterprète avec une touche contemporaine l’un des archétypes du design du siècle dernier, le volumineux fauteuil club en cuir, en le rendant plus actuel, léger et épuré. Le Club conserve les lignes courbes et le confort inégalé des fauteuils qui l’inspirent, mais allège le volume au nom d’une élégance plus décontractée et contemporaine, qui rappelle les formes du design des années soixante-dix. Le revêtement, en tissu ou en cuir, n’est pas amovible : adhérant parfaitement à la structure en acier avec assise en polyuréthane moulé souple, il fait corps avec le design du fauteuil, démontrant une très haute qualité de réalisation."
73704,"FRAME","Frame est un tapis contemporain en soie de bambou, un matériau qui lui donne un aspect irisé caractéristique. Disponible en version ovale ou rectangulaire, dans cette variante le tapis se caractérise par une bordure monochrome en laine de l’Himalaya de la même couleur.","Frame est un tapis contemporain en soie de bambou, un matériau qui lui donne un aspect irisé caractéristique. Disponible en version ovale ou rectangulaire, dans cette variante le tapis se caractérise par une bordure monochrome en laine de l’Himalaya de la même couleur."
73581,"LEXINGTON","Lexington est un système de nuit vertical disponible en deux configurations : murale ou au plafond, ce dernier cas offrant la possibilité de concevoir des compositions double face finies des deux côtés. Des étagères, des blocs-tiroirs et une large gamme d’équipements (les mêmes que ceux du système Senzafine) sont fixés aux montants en finition champagne ou ardoise. Également disponible en version système ouvert pour une flexibilité infinie en termes de dimensions, de contextes d’utilisation et de finitions, Lexington marque une évolution dans le monde des systèmes, dans une optique d’intégration totale entre les différentes pièces de la maison.","Lexington est un système de nuit vertical disponible en deux configurations : murale ou au plafond, ce dernier cas offrant la possibilité de concevoir des compositions double face finies des deux côtés. Des étagères, des blocs-tiroirs et une large gamme d’équipements (les mêmes que ceux du système Senzafine) sont fixés aux montants en finition champagne ou ardoise. Également disponible en version système ouvert pour une flexibilité infinie en termes de dimensions, de contextes d’utilisation et de finitions, Lexington marque une évolution dans le monde des systèmes, dans une optique d’intégration totale entre les différentes pièces de la maison."
73707,"PLAIN","Rectangulaire ou rond, le tapis Plain est composé d’un mélange d’aloès et de soie bambou, deux matières très résistantes et d’excellente qualité. Disponible en cinq coloris, il se caractérise dans les deux versions par les parties les plus foncées, de la même couleur.","Rectangulaire ou rond, le tapis Plain est composé d’un mélange d’aloès et de soie bambou, deux matières très résistantes et d’excellente qualité. Disponible en cinq coloris, il se caractérise dans les deux versions par les parties les plus foncées, de la même couleur."
73578,"DROP","Élégant et raffiné, Drop est un miroir rond aux dimensions généreuses. Il se caractérise par un cadre en cuir qui intègre la sangle avec laquelle il est accroché au mur.","Élégant et raffiné, Drop est un miroir rond aux dimensions généreuses. Il se caractérise par un cadre en cuir qui intègre la sangle avec laquelle il est accroché au mur."
73710,"SOFT","Le tapis Soft, que l’on reconnaît à ses nuances et à l’aspect irisé donné par la soie de bambou, est né de l’entrelacement de vingt-cinq nuances de gris différentes. De forme rectangulaire, Soft est un tapis contemporain, doux et raffiné.","Le tapis Soft, que l’on reconnaît à ses nuances et à l’aspect irisé donné par la soie de bambou, est né de l’entrelacement de vingt-cinq nuances de gris différentes. De forme rectangulaire, Soft est un tapis contemporain, doux et raffiné."
73630,"RELIEF","Le tapis Relief combine l’effet nervuré avec une décoration de bordure obtenue en coupant le velours à différentes hauteurs. Disponible dans les coloris perle, poil de chameau et gris tourterelle, il est composé d’un mélange de laine de l’Himalaya et de soie de bambou, une combinaison qui met l’accent sur un toucher doux et agréable.","Le tapis Relief combine l’effet nervuré avec une décoration de bordure obtenue en coupant le velours à différentes hauteurs. Disponible dans les coloris perle, poil de chameau et gris tourterelle, il est composé d’un mélange de laine de l’Himalaya et de soie de bambou, une combinaison qui met l’accent sur un toucher doux et agréable."
