ID,post_title,post_content,post_excerpt
116132,"LEXINGTON","Lexington es un sistema con fuertes connotaciones arquitectónicas. Se caracteriza por los montantes en el techo o en la pared, en los que se fijan a la altura deseada estantes y unidades de almacenamiento con puertas abatibles, cajones o puertas desplegables. El montante está disponible en acabado barnizado en color champagne o ardesia, o en roble gold y olmo nero, que aporta una sensación más cálida. En la versión con montante de techo, el sistema ofrece la posibilidad de diseñar composiciones de doble cara acabadas por ambos lados, ideales en el centro de la habitación y también para dividir el espacio. Lexington también está disponible en versión dormitorio.","Lexington es un sistema con fuertes connotaciones arquitectónicas. Se caracteriza por los montantes en el techo o en la pared, en los que se fijan a la altura deseada estantes y unidades de almacenamiento con puertas abatibles, cajones o puertas desplegables. El montante está disponible en acabado barnizado en color champagne o ardesia, o en roble gold y olmo nero, que aporta una sensación más cálida. En la versión con montante de techo, el sistema ofrece la posibilidad de diseñar composiciones de doble cara acabadas por ambos lados, ideales en el centro de la habitación y también para dividir el espacio. Lexington también está disponible en versión dormitorio."
69196,"BRISTOL","El confort envolvente de los cojines y la ligereza de los brazos distinguen la estética de Bristol, un sistema de sofás contemporáneo que ofrece la máxima versatilidad compositiva, entre diseño esencial y proporciones generosas. Disponible con cojines simples, dobles o libres, el sofá Bristol se puede enriquecer con elementos accesorios como las mesas de centro Bristol System, el reposacabezas, el escritorio, para crear áreas de relajación en línea con sus necesidades y personalidad.","Il comfort avvolgente della cuscinatura e la leggerezza dei braccioli contraddistinguono l'estetica di Bristol, un sistema di divani contemporaneo che offre la massima versatilità compositiva, fra essenzialità del disegno e proporzioni generose. Disponibile con cuscinatura semplice, doppia o libera, il divano Bristol si può arricchire con elementi accessori come i tavolini Bristol System, il poggiatesta, il piano scrittoio – per creare zone relax in linea con le proprie esigenze e personalità."
69253,"KAY LOUNGE","Elegante, ligero y esencial, Kay Lounge es un sillón con una modernidad innata. Presenta una estructura lineal de inspiración arquitectónica en metal satinado o barnizado en marrón. El asiento y el respaldo, amplios, cómodos y acogedores, están disponibles en tres acabados de cuero con bordes bien definidos, cuero y tela, así como en cuero con pelo y cuero tejido, tapicerías seleccionadas exclusivamente para este modelo. Gracias a sus líneas contemporáneas y su distintivo tapizado, Kay Lounge destaca en cualquier contexto: solo o con el característico reposapiés, como complemento de grandes salones o espacios comunes, es un sillón que reinterpreta los gustos y exigencias más actuales, a caballo entre el diseño y el confort.","Elegante, ligero y esencial, Kay Lounge es un sillón con una modernidad innata. Presenta una estructura lineal de inspiración arquitectónica en metal satinado o barnizado en marrón. El asiento y el respaldo, amplios, cómodos y acogedores, están disponibles en tres acabados de cuero con bordes bien definidos, cuero y tela, así como en cuero con pelo y cuero tejido, tapicerías seleccionadas exclusivamente para este modelo. Gracias a sus líneas contemporáneas y su distintivo tapizado, Kay Lounge destaca en cualquier contexto: solo o con el característico reposapiés, como complemento de grandes salones o espacios comunes, es un sillón que reinterpreta los gustos y exigencias más actuales, a caballo entre el diseño y el confort."
69277,"LE CLUB","El sillón Le Club reinterpreta en clave contemporánea uno de los arquetipos del diseño del siglo pasado, el voluminoso sillón club de piel, hecho más actual, ligero y esencial. Le Club conserva las líneas curvas y el confort inigualable de los sillones que lo inspiran, pero aligera el volumen en nombre de una elegancia más casual y contemporánea, que recuerda las formas del diseño de los años setenta. La tapicería, en tejido o piel, no es desenfundable: adhiriéndose perfectamente a la estructura de acero con asiento en poliuretano moldeado flexible, es uno con el diseño de la silla, demostrando la más alta calidad de ejecución.","La poltrona Le Club reinterpreta in chiave contemporanea uno degli archetipi del design del secolo scorso, la voluminosa poltrona in cuoio dei club, resa più attuale, leggera ed essenziale. Le Club conserva le linee curve e il comfort ineguagliabile delle poltrone a cui si ispira, ma ne alleggerisce il volume all’insegna di un’eleganza più disinvolta e contemporanea, che richiama le forme del design anni Settanta. Il rivestimento, in tessuto o pelle, non è sfoderabile: aderendo perfettamente alla struttura, in acciaio con seduta in poliuretano flessibile stampato, è tutt’uno con il design della poltrona, a dimostrazione di un’altissima qualità di esecuzione."
68951,"SHAPE","Shape es una cocina contemporánea que combina la funcionalidad de las puertas con tirador con la estética esencial de las que no lo tienen. En los muebles bajos, el perfil del tirador se integra en el centro de la puerta o en el lateral, mientras que en los muebles altos adquiere el aspecto de una moldura a lo largo de toda la pieza. Shape se completa con elementos y accesorios pensados para mejorar la experiencia de quien hace vida en la cocina todos los días, como la encimera con cubeta integrada y voladizo con pata Minus, la campana Infinity con función de iluminación y aspiración, los módulos de luz y fotorreceptores con vitrina y la mesa de snack Moon con una superficie giratoria. Una cocina moderna con una exclusiva selección de materiales.","Shape es una cocina contemporánea que combina la funcionalidad de las puertas con tirador con la estética esencial de las que no lo tienen. En los muebles bajos, el perfil del tirador se integra en el centro de la puerta o en el lateral, mientras que en los muebles altos adquiere el aspecto de una moldura a lo largo de toda la pieza. Shape se completa con elementos y accesorios pensados para mejorar la experiencia de quien hace vida en la cocina todos los días, como la encimera con cubeta integrada y voladizo con pata Minus, la campana Infinity con función de iluminación y aspiración, los módulos de luz y fotorreceptores con vitrina y la mesa de snack Moon con una superficie giratoria. Una cocina moderna con una exclusiva selección de materiales."
69044,"FRAME","Frame es una alfombra contemporánea hecha de seda de bambú, material que le da su característico aspecto iridiscente. Disponible en versión ovalada o rectangular, esta variante presenta un borde monocromático de lana del Himalaya del mismo color.","Frame es una alfombra contemporánea hecha de seda de bambú, material que le da su característico aspecto iridiscente. Disponible en versión ovalada o rectangular, esta variante presenta un borde monocromático de lana del Himalaya del mismo color."
68921,"LEXINGTON","Lexington è un sistema notte a montanti disponibile in due configurazioni: a parete oppure a soffitto, in questo caso con possibilità di progettare composizioni bifacciali finite su entrambi i lati. Ai montanti in finitura verniciato champagne o ardesia si agganciano ripiani, cassettiere e un’ampia gamma di attrezzature – le stesse del sistema Senzafine. Disponibile anche in versione sistema giorno, per l’infinita flessibilità in termini di dimensioni, contesti d’uso e finiture, Lexington segna un’evoluzione nel mondo dei sistemi, nell’ottica di un’integrazione totale tra i diversi ambienti della casa.","Lexington è un sistema notte a montanti disponibile in due configurazioni: a parete oppure a soffitto, in questo caso con possibilità di progettare composizioni bifacciali finite su entrambi i lati. Ai montanti in finitura verniciato champagne o ardesia si agganciano ripiani, cassettiere e un’ampia gamma di attrezzature – le stesse del sistema Senzafine. Disponibile anche in versione sistema giorno, per l’infinita flessibilità in termini di dimensioni, contesti d’uso e finiture, Lexington segna un’evoluzione nel mondo dei sistemi, nell’ottica di un’integrazione totale tra i diversi ambienti della casa."
69047,"PLAIN","Rectangular o redonda, la alfombra Plain está hecha de una mezcla de aloe y seda de bambú, dos materiales muy resistentes y de excelente calidad. Disponible en cinco colores, se caracteriza en ambas versiones por las secciones más oscuras, en el mismo color.","Rettangolare o tondo, il tappeto Plain è realizzato in un blend di aloe e seta di bambù, due materiali molto resistenti e di qualità eccellente. Disponibile in cinque colori, è caratterizzato in entrambe le versioni dalle sezioni più scure, in tinta."
68918,"DROP","Elegante y precioso, Drop es un espejo redondo de generosas dimensiones. Se caracteriza por el marco de cuero, que incorpora la correa con la que se cuelga en la pared.","Elegante y precioso, Drop es un espejo redondo de generosas dimensiones. Se caracteriza por el marco de cuero, que incorpora la correa con la que se cuelga en la pared."
69050,"SOFT","En la alfombra Soft se tejen 25 tonos diferentes de gris, que se reconocen por sus matices y el aspecto iridiscente de la seda de bambú. De forma rectangular, Soft es una alfombra contemporánea, suave y refinada.","En la alfombra Soft se tejen 25 tonos diferentes de gris, que se reconocen por sus matices y el aspecto iridiscente de la seda de bambú. De forma rectangular, Soft es una alfombra contemporánea, suave y refinada."
