ID,post_title,post_content,post_excerpt
116128,"LEXINGTON","Lexington是一套具有强烈建筑学内涵的陈设系列。特点体现在悬吊或靠墙构造当中：在所需的高度上，可以挂载搭配铰链门、抽屉或翻转门的搁板和储物柜。立柱的涂漆饰面可选择champagne或ardesia，也可以选择橡木金和榆木黑，呈现出更温暖的感觉。在悬挂的款式中，此系列具有双面设计完善组合的可能性，非常适合分隔房间的中心地带。Lexington亦包含睡眠空间系列。","Lexington是一套具有强烈建筑学内涵的陈设系列。特点体现在悬吊或靠墙构造当中：在所需的高度上，可以挂载搭配铰链门、抽屉或翻转门的搁板和储物柜。立柱的涂漆饰面可选择champagne或ardesia，也可以选择橡木金和榆木黑，呈现出更温暖的感觉。在悬挂的款式中，此系列具有双面设计完善组合的可能性，非常适合分隔房间的中心地带。Lexington亦包含睡眠空间系列。"
58794,"BRISTOL系列","靠垫的舒适感和扶手的轻盈感凸显了Bristol系列的美学特色。此系列构成元素多样，兼具现代沙发系统的设计质感和宽松比例。Bristol沙发分为单/双靠垫款和无靠垫款，亦可搭配包括Bristol系列的小茶几、头枕、书桌在内丰富的附件元素，依您的需求与个性打造出一片休闲空间。","靠垫的舒适感和扶手的轻盈感凸显了Bristol系列的美学特色。此系列构成元素多样，兼具现代沙发系统的设计质感和宽松比例。Bristol沙发分为单/双靠垫款和无靠垫款，亦可搭配包括Bristol系列的小茶几、头枕、书桌在内丰富的附件元素，依您的需求与个性打造出一片休闲空间。"
58851,"KAY LOUNGE系列","Kay Lounge系列优雅、轻盈而精致，是一款自带现代感的扶手椅。此系列的特色体现于缎面或棕色涂漆金属，呈现了具有建筑灵感的线性结构。宽大、温馨而舒适的座椅和靠背分为三种饰面，即毛边马鞍皮革、皮革与织物，更有专为此系列独家精选的毛皮和编织皮革包覆层。Kay Lounge的现代线条和包覆层特殊性在各种情况下都显得与众不同：既可单独摆放，亦可搭配特色脚凳，或作为大型起居空间或公共空间的补充。Kay Lounge也是一款在设计和舒适度之间重新诠释潮流品味和现实需求的座椅产品。","Kay Lounge系列优雅、轻盈而精致，是一款自带现代感的扶手椅。此系列的特色体现于缎面或棕色涂漆金属，呈现了具有建筑灵感的线性结构。宽大、温馨而舒适的座椅和靠背分为三种饰面，即毛边马鞍皮革、皮革与织物，更有专为此系列独家精选的毛皮和编织皮革包覆层。Kay Lounge的现代线条和包覆层特殊性在各种情况下都显得与众不同：既可单独摆放，亦可搭配特色脚凳，或作为大型起居空间或公共空间的补充。Kay Lounge也是一款在设计和舒适度之间重新诠释潮流品味和现实需求的座椅产品。"
58875,"LE CLUB系列","Le Club扶手椅以当代特色重新诠释了属于上世纪俱乐部的宽大皮革扶手椅设计原型，更具时尚感、轻便性和精致感。Le Club一方面保留了原型扶手椅的曲线和无与伦比的舒适感，另一方面以更加休闲和现代的优雅感减少了产品体积，让人回想起上世纪70年代的设计形态。织物或皮革饰面完美贴合结构且不可拆卸，钢制座椅采用模制柔性聚氨酯，与扶手椅设计相得益彰，呈现出极高的制造品质。","Le Club扶手椅以当代特色重新诠释了属于上世纪俱乐部的宽大皮革扶手椅设计原型，更具时尚感、轻便性和精致感。Le Club一方面保留了原型扶手椅的曲线和无与伦比的舒适感，另一方面以更加休闲和现代的优雅感减少了产品体积，让人回想起上世纪70年代的设计形态。织物或皮革饰面完美贴合结构且不可拆卸，钢制座椅采用模制柔性聚氨酯，与扶手椅设计相得益彰，呈现出极高的制造品质。"
58638,"FRAME系列","Frame是一款由竹丝制成的现代地毯，这种材料具有独特的彩虹色外观。Frame系列有椭圆形和矩形款，后者应用了同颜色的喜马拉雅羊毛单色织边。","Frame是一款由竹丝制成的现代地毯，这种材料具有独特的彩虹色外观。Frame系列有椭圆形和矩形款，后者应用了同颜色的喜马拉雅羊毛单色织边。"
58545,"SHAPE系列","Shape is a kitchen with a contemporary feel that combines the functionality of doors with handles with the sleek aesthetic of handleless cabinets. On the base units, the handle profile is positioned in the centre or at the side, while it takes the form of a full-length moulding on the tall units. Shape is enhanced with elements and accessories designed to improve the experience of those who use the kitchen every day, such as the worktop with a fully equipped and cantilevered sink featuring the Minus leg, the Infinity range hood with a luminous extractor unit, a plant grow light unit, luminous modules with glass display cases and the Moon breakfast bar with rotating insert. A modern kitchen with an exclusive selection of materials.","Shape是一套具有现代感的厨房系列产品，它结合了门把手的功能和无把手橱柜的美感特色。在基础款中，把手轮廓集成在门的中央或侧面，而加高款则呈现出全尺寸形态。Shape系列经过专门设计，配有改善厨房日常使用者体验的元素和附件，例如采用悬臂式水槽（采用Minus支柱）且配备完善的台面，带有照明抽取装置、植物生长光照装置和玻璃柜照明装置的Infinity抽油烟机，以及搭配旋转插件的Moon小吃桌。独家精选材料，打造现代厨房。"
58641,"PLAIN系列","Plain地毯有长方形或圆形，由芦荟纤维和竹丝混合制成，这两种材料非常耐用，质量上乘。地毯共有五种颜色、两种款式，特色在于同色彩的深色调部分。","Plain地毯有长方形或圆形，由芦荟纤维和竹丝混合制成，这两种材料非常耐用，质量上乘。地毯共有五种颜色、两种款式，特色在于同色彩的深色调部分。"
58515,"LEXINGTON系列","Lexington是一套立式夜间陈设系列，共有墙壁和天花板内嵌两种配置，使用这套陈设可以在两侧打造出双面组合。搁板、抽屉和各类装置均安装在香槟色或石板色漆面的支柱上，这一特色与Senzafine系列相同。Lexington亦包含日间起居陈设，在尺寸、使用环境和饰面方面具有无限的灵活性，呈现了陈设世界的演进变化，实现了对房屋内不同空间的完全整合。","Lexington是一套立式夜间陈设系列，共有墙壁和天花板内嵌两种配置，使用这套陈设可以在两侧打造出双面组合。搁板、抽屉和各类装置均安装在香槟色或石板色漆面的支柱上，这一特色与Senzafine系列相同。Lexington亦包含日间起居陈设，在尺寸、使用环境和饰面方面具有无限的灵活性，呈现了陈设世界的演进变化，实现了对房屋内不同空间的完全整合。"
58648,"SOFT系列","柔软的地毯由25种不同深浅的灰色纱线交织而成，因竹丝的斑块和彩虹色外观而受到青睐。Soft地毯呈长方形，具有现代感、柔软感和精致感。","柔软的地毯由25种不同深浅的灰色纱线交织而成，因竹丝的斑块和彩虹色外观而受到青睐。Soft地毯呈长方形，具有现代感、柔软感和精致感。"
58512,"DROP系列","Drop是一面宽大的圆形镜子，优雅而尊贵。其特色在于结合了挂墙带的皮革框架。","Drop是一面圆形镜子，优雅而尊贵……"
