ID,post_title,post_content,post_excerpt
116131,"LEXINGTON","Lexington — это система с четко выраженным архитектурным акцентом. Ансамбли с характерными потолочными или настенными стойками позволяют регулировать высоту размещения полок и корпусных модулей с распашными, откидными дверцами или ящиками. Стойка доступна с окрашенной структурой champagne или ardesia, или из дуба gold и черного вяза в более теплых тонах. Гарнитуры с потолочными стойками позволяют создать двухсторонние композиции с отделкой с обеих сторон. Эти решения идеально подходят для размещения в центре комнаты и для разделения пространства. Lexington предлагается также как система для ночной зоны.","Lexington — это система с четко выраженным архитектурным акцентом. Ансамбли с характерными потолочными или настенными стойками позволяют регулировать высоту размещения полок и корпусных модулей с распашными, откидными дверцами или ящиками. Стойка доступна с окрашенной структурой champagne или ardesia, или из дуба gold и черного вяза в более теплых тонах. Гарнитуры с потолочными стойками позволяют создать двухсторонние композиции с отделкой с обеих сторон. Эти решения идеально подходят для размещения в центре комнаты и для разделения пространства. Lexington предлагается также как система для ночной зоны."
86365,"BRISTOL","Эстетику модели Bristol отличает комфорт подушек и легкость подлокотников. Это современная диванная система предлагает максимальную композиционную универсальность и сочетание строгого дизайна и изысканных пропорций. Диван Bristol может быть как с одинарными, так и с двойными подушками спинки. Система дивана дополняется журнальными столиками Bristol System, подголовниками и другими элементами для создания зоны отдыха в соответствии с вашими потребностями и индивидуальностью.","Эстетику Bristol, современной диванной системы, можно определить двумя словами: манящий комфорт подушек и легкость подлокотников. Диваны Bristol отличаются максимальной композиционной универсальностью, дополненной строгим дизайном и внушительными пропорциями. Диван Bristol доступен с простыми, двойными или свободными подушками. Его можно дополнить разными элементами: журнальными столиками Bristol System, подголовниками, пюпитрами для письма, чтобы создать зону отдыха в соответствии с вашими потребностями, привычками и стилем жизни."
86422,"KAY LOUNGE","Kay Lounge - это элегантное, легкое   кресло с выраженным современным характером. Минималистичные линии его металлической структуры в натуральном сатинированном или темном анодированном цвете смотрятся очень архитектурно. Широкое, уютное и удобное сидение дополнено наклонной спинкой. Высокая гамма и вариативность отделок - от ткани доседельной кожи с структурными краями, лицевой кожи, а также шкуры пони и плетеная структурная кожа. Типы обивки подобраны специально для этой модели. Kay Lounge становится главным героем любого интерьера благодаря современным линиям и стилистической выверенности. Кресло может быть использовано самостоятельно или вместе со специальной подставкой для ног, как в просторных жилых помещениях, так и в пространствах общественного назначения. Kay Lounge по-новому интерпретирует лофтовый дизайн в современном ключе и удовлетворяет самому притязательному вкусу и потребностям сочетания дизайна и комфорта.","Элегантное, легкое и незаменимое кресло Kay Lounge — это олицетворение врожденной современности. Кресло с линейной, архитектурной структурой из сатинированного или окрашенного в коричневый цвет металла. Сиденье и спинка — большие, уютные и удобные — доступны в трех вариантах отделки: седельная кожа с необработанными краями, кожа и ткань, а также кожа Hairy и плетеная кожа. Все виды обивки были разработаны специально для этой модели. Благодаря современным линиям и особенностям обивки кресло Kay Lounge выделяется в любом контексте. Оно может использоваться отдельно или с характерной подставкой для ног в качестве дополнения к большим жилым помещениям или местам общего пользования. Этот предмет интерьера способен по-новому интерпретировать самые современные вкусы и потребности, оставляя при этом неизменными дизайн и комфорт."
86446,"LE CLUB","Кресло Le Club переосмысливает в современном ключе один из архетипов дизайна прошлого века - объемное кожаное клубное кресло. Теперь оно предстает перед нами более современным и легким. Le Club сохраняет изогнутые линии и непревзойденный комфорт клубных кресел семидесятых, но при этом оно стало менее габаритным, более современным и элегантным. Обивка из ткани или кожи идеально прилегает к металлической конструкции, обтянутой плотным формованным полиуретаном. Обивка несъемная, она соответствует дизайну кресла и демонстрирует высочайшее качество исполнения.","Le Club переосмысливает в современном ключе один из архетипов дизайна прошлого века — большое кожаное клубное кресло. Новая интерпретация отличается большей легкостью и современным, лаконичным дизайном. Le Club сохраняет изогнутые линии и непревзойденный комфорт кресел, по образу которых было создано, но добавляет в них более легкие объемы и стиль, который напоминает дизайн семидесятых годов в современной и актуальной интерпретации. Обивка из ткани или кожи не снимается: она идеально прилегает к конструкции из стали с сиденьем из гибкого формованного полиуретана и соответствует дизайну кресла, отличаясь высочайшим качеством исполнения."
85029,"FRAME","Frame — это современный ковер из бамбукового шелка, материала, который придает текстуре характерный переливающийся эффект. Ковер доступен в овальной или прямоугольной форме с монохромной каймой из гималайской шерсти того же цвета.","Frame — это современный ковер из бамбукового шелка, материала, который придает текстуре характерный переливающийся эффект. Ковер доступен в овальной или прямоугольной форме с монохромной каймой из гималайской шерсти того же цвета."
84936,"SHAPE","Shape - это кухня в современном стиле, которая сочетает в себе функциональность фасадов с ручками и эстетику открывания без ручки. В базовых шкафах ручка встраивается по центру фасада или может быть смещена латерально, а в колоннах захват расположен вертикально. Shape дополнена самыми удобными и функциональными элементами и аксессуарами, чтобы хозяева кухни наслаждались каждый день процессом приготовления еды. Коллекция предполагает много запатентованных решений: и необычную столешницу Minus с тонким оборудованным функциональным углублением на минималистичном изножье, и вытяжку Infinity с подсветкой и фитосистемой и специальными стеклянными подвесными модулями, и круглый накладной стол Moon с поворотной центральной вставкой. Непревзойденная стильная современная кухня с эксклюзивным выбором материалов и широчайшей гаммой отделок.","Shape — это современная кухня, в которой обыгрывается контраст элементов с ручками и элементов с полностью гладкой поверхностью. В напольных тумбах профиль с ручкой встроен в центр или сбоку двери, а в колоннах он приобретает форму молдинга во всю высоту. Система шкафов дополнена элементами и аксессуарами, призванными упростить и улучшить жизнь тех, кто будет проводить на кухне каждый день. Это столешница с оборудованным и консольным углублением с ножкой Minus, вытяжка Infinity, фитостимулятор для растений и светящийся стеклянный корпус (все элементы с подсветкой). Остров дополнен барным столом Moon с поворотной вставкой. Речь идет о необычайно актуальной кухне с эксклюзивным подбором материалов."
85032,"PLAIN","Прямоугольный или круглый коврик Plain изготовлен из смесовой пряжи алоэ и бамбукового шелка, двух прочнейших материалов превосходного качества. Он представлен в пяти цветах и во всех версиях состоит из более темных секций тон в тон.","Прямоугольный или круглый коврик Plain изготовлен из смесовой пряжи алоэ и бамбукового шелка, двух прочнейших материалов превосходного качества. Он представлен в пяти цветах и во всех версиях состоит из более темных секций тон в тон."
84906,"LEXINGTON","Lexington - это инновационная система хранения как для спальни, так и для гостиной, доступная в нескольких конфигурациях: вертикальная опора может крепиться в пол и в потолок или в пол и в стену. А также есть возможность создания двусторонних композиций благодаря всесторонней отделке элементов. Полки, комоды и различные функциональные аксессуары - такие же, как в системе Senzafine - крепятся к алюминиевым стойкам в отделке цвета Шампань или Ардезия. А для дневной версии системы, благодаря высокой вариативности размеров, возможностей использования и отделок, Lexington знаменует настоящую эволюцию в мире модульных систем с точки зрения полной интеграции и перехода между различными пространствами дома.","Lexington — это вертикальная ночная система, доступная в двух конфигурациях: настенной или потолочной (в этом случае можно создать двухсторонние композиции с отделкой с обеих сторон). Полки, комоды и различное оборудование оснащены такими же механизмами, что и система Senzafine. Всё оборудование крепится к стойкам цвета шампанское или ардезия. Система Lexington может успешно использоваться и для дневных зон, поскольку представлено множество размеров, вариантов использования и отделки. Это решение знаменует собой эволюцию в мире систем меблировки: оно полностью интегрируется в различные помещения дома."
85035,"SOFT","Ковер Soft — это сочетание двадцати пяти различных оттенков серого, легко узнаваемых благодаря переливающемуся эффекту, который создает бамбуковый шелк. Прямоугольный ковер Soft — это современный, мягкий и изысканный ковер.","Ковер Soft — это сочетание двадцати пяти различных оттенков серого, легко узнаваемых благодаря переливающемуся эффекту, который создает бамбуковый шелк. Прямоугольный ковер Soft — это современный, мягкий и изысканный ковер."
84903,"DROP","Drop - это элегантное круглое зеркало привлекательного дизайна и габарита. Благородная структурная кожаная отделка рамы и ремня для крепления на стену, обрамляющей тонированное зеркальное полотно, сделают этот аксессуар превосходным акцентом для любого интерьера.","Элегантное и роскошное зеркало Drop имеет большую круглую форму. Зеркало дополняет изысканная кожаная рамка с ремешком для крепления на стене."
