ID,post_title,post_content,post_excerpt
116130,"LEXINGTON","Lexington ist ein System mit starken architektonischen Konnotationen. Es zeichnet sich durch Decken- oder Wandpfosten aus, an denen in der gewünschten Höhe Regale und Schränke mit Flügeltüren, Schubladen oder Klapptüren angebracht werden. Der Pfosten ist in lackierter Ausführung in Champagne oder Ardesia oder für ein wärmeres Erscheinungsbild auch in Eiche Gold und Ulme Schwarz erhältlich. Die deckenmontierte Version des Systems ermöglicht die Verwirklichung von doppelseitigen, auf beiden Seiten verarbeiteten Kompositionen, die auch als Raumteiler verwendet werden können. Lexington ist auch in einer Schlafzimmerversion erhältlich.","Lexington ist ein System mit starken architektonischen Konnotationen. Es zeichnet sich durch Decken- oder Wandpfosten aus, an denen in der gewünschten Höhe Regale und Schränke mit Flügeltüren, Schubladen oder Klapptüren angebracht werden. Der Pfosten ist in lackierter Ausführung in Champagne oder Ardesia oder für ein wärmeres Erscheinungsbild auch in Eiche Gold und Ulme Schwarz erhältlich. Die deckenmontierte Version des Systems ermöglicht die Verwirklichung von doppelseitigen, auf beiden Seiten verarbeiteten Kompositionen, die auch als Raumteiler verwendet werden können. Lexington  ist auch in einer Schlafzimmerversion erhältlich."
64851,"BRISTOL","Das System Bristol ist eine Accessoires-Kollektion, die auf einem Aufbewahrungsmodul aufbaut, das mit Schubladen, offenen Fächern und geschlossenen Fächern mit Klapptüren ausgestattet werden kann. Ein ideales System für den Wohnbereich, das an der Wand montiert oder in der Mitte des Raumes platziert werden kann und mit dem Sofa und dem Couchtisch Bristol abgestimmt ist.","Das System Bristol ist eine Accessoires-Kollektion, die auf einem Aufbewahrungsmodul aufbaut, das mit Schubladen, offenen Fächern und geschlossenen Fächern mit Klapptüren ausgestattet werden kann. Ein ideales System für den Wohnbereich, das an der Wand montiert oder in der Mitte des Raumes platziert werden kann und mit dem Sofa und dem Couchtisch Bristol abgestimmt ist."
64908,"KAY LOUNGE","Der elegante, leichte und essenzielle Kay Lounge ist ein Sessel mit innewohnender Modernität. Er zeichnet sich durch ein architektonisch inspiriertes lineares Gestell aus satiniertem oder braun lackiertem Metall aus. Der Sitz und die Rückenlehne – beide breit, bequem und gemütlich – sind in drei Finishs erhältlich: Leder mit geschnittenen Kanten, Leder und Stoff sowie Hairy-Leder in Kombination mit geflochtenem Leder. Die Bezüge wurden exklusiv für dieses Modell ausgewählt. Mit seinen zeitgemäßen Linien und seinem unverwechselbaren Bezug sticht Kay Lounge in jeder Umgebung hervor: allein oder mit der charakteristischen Fußstütze, als Accessoire in großen Wohnbereichen oder in Gemeinschaftsräumen. Ein Sitzmöbel, das nicht nur zeitgemäßen Geschmack und modernste Bedürfnisse neu interpretiert, sondern auch Design und Komfort bietet.","Der elegante, leichte und essenzielle Kay Lounge ist ein Sessel mit innewohnender Modernität. Er zeichnet sich durch ein architektonisch inspiriertes lineares Gestell aus satiniertem oder braun lackiertem Metall aus. Der Sitz und die Rückenlehne – beide breit, bequem und gemütlich – sind in drei Finishs erhältlich: Leder mit geschnittenen Kanten, Leder und Stoff sowie Hairy-Leder in Kombination mit geflochtenem Leder. Die Bezüge wurden exklusiv für dieses Modell ausgewählt. Mit seinen zeitgemäßen Linien und seinem unverwechselbaren Bezug sticht Kay Lounge in jeder Umgebung hervor: allein oder mit der charakteristischen Fußstütze, als Accessoire in großen Wohnbereichen oder in Gemeinschaftsräumen. Ein Sitzmöbel, das nicht nur zeitgemäßen Geschmack und modernste Bedürfnisse neu interpretiert, sondern auch Design und Komfort bietet."
64932,"LE CLUB","Der Sessel Le Club interpretiert einen der Archetypen des Designs des letzten Jahrhunderts in einem zeitgenössischen Stil neu – den voluminösen Clubsessel aus Leder, der aktueller, leichter und essenzieller wird. Le Club behält die geschwungenen Linien und den unvergleichlichen Komfort der Sessel bei, von denen er seine Inspiration schöpft, wurde aber in kleineren Maßen mit einer lässigeren, zeitgenössischen Eleganz, die an die Formen des Designs der 1970er Jahre erinnert, neu gestaltet. Der Bezug aus Stoff oder Leder ist nicht abnehmbar, sondern haftet perfekt auf dem Stahlrahmen mit dem Sitz aus geformtem flexiblem Polyurethan und fügt sich in das Design des Sessels ein, was die besonders hohe Qualität der Ausführung bezeugt.","Der Sessel Le Club interpretiert einen der Archetypen des Designs des letzten Jahrhunderts in einem zeitgenössischen Stil neu – den voluminösen Clubsessel aus Leder, der aktueller, leichter und essenzieller wird. Le Club behält die geschwungenen Linien und den unvergleichlichen Komfort der Sessel bei, von denen er seine Inspiration schöpft, wurde aber in kleineren Maßen mit einer lässigeren, zeitgenössischen Eleganz, die an die Formen des Designs der 1970er Jahre erinnert, neu gestaltet. Der Bezug aus Stoff oder Leder ist nicht abnehmbar, sondern haftet perfekt auf dem Stahlrahmen mit dem Sitz aus geformtem flexiblem Polyurethan und fügt sich in das Design des Sessels ein, was die besonders hohe Qualität der Ausführung bezeugt."
64606,"SHAPE","Shape ist eine moderne Küche, die die Funktionalität von Türen mit Griffen mit der schlichten Ästhetik griffloser Schränke verbindet. Bei den Unterschränken ist das Profil mit Griff in der Türmitte oder seitlich integriert, während es bei den Hochschränken wie eine raumhohe Leiste wirkt. Shape wird durch Elemente und Zubehör ergänzt, die die Erfahrung der täglichen Küchenbenutzung verbessern sollen. Dazu gehören die Arbeitsplatte mit einer voll ausgestatteten und freitragenden Spüle mit Minus-Bein, die Dunstabzugshaube Infinity mit einem leuchtenden Abzug, eine Pflanzenwachstumsleuchte, leuchtende Module mit Glasvitrinen und die Frühstückstheke Moon mit drehbarem Einsatz. Eine moderne Küche mit einer exklusiven Auswahl an Materialien.","Shape ist eine moderne Küche, die die Funktionalität von Türen mit Griffen mit der schlichten Ästhetik griffloser Schränke verbindet. Bei den Unterschränken ist das Profil mit Griff in der Türmitte oder seitlich integriert, während es bei den Hochschränken wie eine raumhohe Leiste wirkt. Shape wird durch Elemente und Zubehör ergänzt, die die Erfahrung der täglichen Küchenbenutzung verbessern sollen. Dazu gehören die Arbeitsplatte mit einer voll ausgestatteten und freitragenden Spüle mit Minus-Bein, die Dunstabzugshaube Infinity mit einem leuchtenden Abzug, eine Pflanzenwachstumsleuchte, leuchtende Module mit Glasvitrinen und die Frühstückstheke Moon mit drehbarem Einsatz. Eine moderne Küche mit einer exklusiven Auswahl an Materialien."
64699,"FRAME","Ein perfekter Würfel mit zentraler Naht, die seinen Komfort und seine Weichheit unterstreicht. Der Pouf Onda vervollständigt das Sofa des Wohnraumsystems und wird bei Bedarf zu einer bequemen zusätzlichen Sitzgelegenheit.","Ein perfekter Würfel mit zentraler Naht, die seinen Komfort und seine Weichheit unterstreicht. Der Pouf Onda vervollständigt das Sofa des Wohnraumsystems und wird bei Bedarf zu einer bequemen zusätzlichen Sitzgelegenheit."
64576,"LEXINGTON","Lexington ist ein auf Säulen basierendes Schlafzimmersystem, das in zwei Konfigurationen erhältlich ist: wand- oder deckenmontiert. Die Montage an der Decke ermöglicht doppelseitige, auf beiden Seiten verarbeitete Kompositionen. Die Fächer, Schubladen und eine breite Palette von Ausstattungselementen werden – wie beim System Senzafine – in champagnerfarben oder schiefergrau lackierte Stützen eingehängt. Lexington, das auch in einer Version für den Wohnbereich erhältlich ist, stellt dank seiner unendlichen Flexibilität in Bezug auf Abmessungen, Anwendungen und Finishs eine völlig neue Art des Wohnraumsystems dar und passt damit perfekt in alle Räume im Haus.","Lexington ist ein auf Säulen basierendes Schlafzimmersystem, das in zwei Konfigurationen erhältlich ist: wand- oder deckenmontiert. Die Montage an der Decke ermöglicht doppelseitige, auf beiden Seiten verarbeitete Kompositionen. Die Fächer, Schubladen und eine breite Palette von Ausstattungselementen werden – wie beim System Senzafine – in champagnerfarben oder schiefergrau lackierte Stützen eingehängt. Lexington, das auch in einer Version für den Wohnbereich erhältlich ist, stellt dank seiner unendlichen Flexibilität in Bezug auf Abmessungen, Anwendungen und Finishs eine völlig neue Art des Wohnraumsystems dar und passt damit perfekt in alle Räume im Haus."
64702,"PLAIN","Rechteckig oder rund, der Teppich Plain besteht aus einer Mischung aus Aloe und Bambusseide, zwei sehr widerstandsfähige Materialien von ausgezeichneter Qualität. Es ist in fünf Farben erhältlich und zeichnet sich in beiden Versionen durch die dunkleren Abschnitte in derselben Farbe aus.","Rettangolare o tondo, il tappeto Plain è realizzato in un blend di aloe e seta di bambù, due materiali molto resistenti e di qualità eccellente. Disponibile in cinque colori, è caratterizzato in entrambe le versioni dalle sezioni più scure, in tinta."
64573,"DROP","Der elegante und kostbare Drop ist ein großzügig bemessener runder Spiegel. Er ist mit einem Lederrahmen versehen, in den das Band zur Wandmontage integriert ist.","Der elegante und kostbare Drop ist ein großzügig bemessener runder Spiegel. Er ist mit einem Lederrahmen versehen, in den das Band zur Wandmontage integriert ist."
64705,"SOFT","Aus der Verflechtung von fünfundzwanzig verschiedenen Grautönen entsteht der Teppich Soft, der sich durch die Nuancen und das Schillern der Bambusseide auszeichnet. Mit seiner rechteckigen Form ist Soft ein moderner, weicher und raffinierter Teppich.","Aus der Verflechtung von fünfundzwanzig verschiedenen Grautönen entsteht der Teppich Soft, der sich durch die Nuancen und das Schillern der Bambusseide auszeichnet. Mit seiner rechteckigen Form ist Soft ein moderner, weicher und raffinierter Teppich."
