ID,post_title,post_content,post_excerpt
109011,"LEXINGTON","Lexington è un sistema dalla forte connotazione architettonica. È caratterizzato dai montanti a soffitto o a parete, su cui si agganciano – all’altezza desiderata – ripiani e contenitori con ante battenti, cassetti o ante a ribalta. Il montante è disponibile in finitura verniciato champagne o ardesia, oppure in rovere gold e olmo nero, dal feeling più caldo. Nella versione con montante a soffitto, il sistema offre la possibilità di progettare composizioni bifacciali finite su entrambi i lati, ideali a centro stanza anche per suddividere gli spazi. Lexington è anche in versione sistema notte.","Lexington è un sistema dalla forte connotazione architettonica. È caratterizzato dai montanti a soffitto o a parete, su cui si agganciano – all’altezza desiderata – ripiani e contenitori con ante battenti, cassetti o ante a ribalta."
1772,"BRISTOL","Il comfort avvolgente della cuscinatura e la leggerezza dei braccioli contraddistinguono l'estetica di Bristol, un sistema di divani contemporaneo che offre la massima versatilità compositiva, fra essenzialità del disegno e proporzioni generose. Disponibile con cuscinatura semplice, doppia o libera, il divano Bristol si può arricchire con elementi accessori come i tavolini Bristol System, il poggiatesta, il piano scrittoio – per creare zone relax in linea con le proprie esigenze e personalità.","Il comfort avvolgente della cuscinatura e la leggerezza dei braccioli contraddistinguono l'estetica di Bristol, un sistema di divani contemporaneo che offre la massima versatilità compositiva, fra essenzialità del disegno e proporzioni generose. Disponibile con cuscinatura semplice, doppia o libera, il divano Bristol si può arricchire con elementi accessori come i tavolini Bristol System, il poggiatesta, il piano scrittoio – per creare zone relax in linea con le proprie esigenze e personalità."
1685,"LE CLUB","La poltrona Le Club reinterpreta in chiave contemporanea uno degli archetipi del design del secolo scorso, la voluminosa poltrona in cuoio dei club, resa più attuale, leggera ed essenziale. Le Club conserva le linee curve e il comfort ineguagliabile delle poltrone a cui si ispira, ma ne alleggerisce il volume all’insegna di un’eleganza più disinvolta e contemporanea, che richiama le forme del design anni Settanta. Il rivestimento, in tessuto o pelle, non è sfoderabile: aderendo perfettamente alla struttura, in acciaio con seduta in poliuretano flessibile stampato, è tutt’uno con il design della poltrona, a dimostrazione di un’altissima qualità di esecuzione.","La poltrona Le Club reinterpreta in chiave contemporanea uno degli archetipi del design del secolo scorso, la voluminosa poltrona in cuoio dei club, resa più attuale, leggera ed essenziale. Le Club conserva le linee curve e il comfort ineguagliabile delle poltrone a cui si ispira, ma ne alleggerisce il volume all’insegna di un’eleganza più disinvolta e contemporanea, che richiama le forme del design anni Settanta. Il rivestimento, in tessuto o pelle, non è sfoderabile: aderendo perfettamente alla struttura, in acciaio con seduta in poliuretano flessibile stampato, è tutt’uno con il design della poltrona, a dimostrazione di un’altissima qualità di esecuzione."
51030,"SYMPHONY","Symphony è una collezione di madie dove l’essenzialità delle linee si esprime attraverso materiali pregiati e lavorazioni accurate. Le madie sono caratterizzate da una forma ellittica, valorizzata dalla finitura legno. La collezione include elementi di altezze e misure diverse – dalle versioni alta e media con ante alla versione bassa con cassetti o con cassetto e vano a giorno, tutte su basamento con piedini.","Symphony è una collezione di madie dove l’essenzialità delle linee si esprime attraverso materiali pregiati e lavorazioni accurate. Le madie sono caratterizzate da una forma ellittica, valorizzata dalla finitura legno. La collezione include elementi di altezze e misure diverse – dalle versioni alta e media con ante alla versione bassa con cassetti o con cassetto…"
49135,"SHAPE","Shape è una cucina dallo stile contemporaneo che unisce la funzionalità delle ante con maniglia all’estetica essenziale di quelle senza. Nelle basi, il profilo con maniglia è integrato al centro dell’anta o lateralmente, mentre nelle colonne assume l’aspetto di una modanatura a tutta altezza. Shape si completa con elementi e accessori pensati per migliorare l’esperienza di chi vive la cucina ogni giorno, come il piano di lavoro con invaso attrezzato e a sbalzo con gamba Minus, la cappa Infinity con moduli luminoso aspirante, luminoso fitostimolante e luminoso con teca in vetro e il tavolo snack Moon con inserto girevole. Una cucina moderna con un’esclusiva selezione dei materiali.","Shape è una cucina dallo stile contemporaneo che unisce la funzionalità delle ante con maniglia all’estetica essenziale di quelle senza. Nelle basi, il profilo con maniglia è integrato al centro dell’anta o lateralmente, mentre nelle colonne assume l’aspetto di una modanatura a tutta altezza. Shape si completa con elementi e accessori pensati per migliorare l’esperienza di chi vive la cucina ogni giorno, come il piano di lavoro con invaso attrezzato e a sbalzo con gamba Minus, la cappa Infinity con moduli luminoso aspirante, luminoso fitostimolante e luminoso con teca in vetro e il tavolo snack Moon con inserto girevole. Una cucina moderna con un’esclusiva selezione dei materiali."
51160,"LEXINGTON","Lexington è un sistema notte a montanti disponibile in due configurazioni: a parete oppure a soffitto, in questo caso con possibilità di progettare composizioni bifacciali finite su entrambi i lati. Ai montanti in finitura verniciato champagne o ardesia si agganciano ripiani, cassettiere e un’ampia gamma di attrezzature – le stesse del sistema Senzafine. Disponibile anche in versione sistema giorno, per l’infinita flessibilità in termini di dimensioni, contesti d’uso e finiture, Lexington segna un’evoluzione nel mondo dei sistemi, nell’ottica di un’integrazione totale tra i diversi ambienti della casa.","Lexington è un sistema notte a montanti disponibile in due configurazioni: a parete oppure a soffitto, in questo caso con possibilità di progettare composizioni bifacciali finite su entrambi i lati. Ai montanti in finitura verniciato champagne o ardesia si agganciano ripiani, cassettiere e un’ampia gamma di attrezzature – le stesse del sistema Senzafine. Disponibile anche in versione sistema giorno, per l’infinita flessibilità in termini di dimensioni, contesti d’uso e finiture, Lexington segna un’evoluzione nel mondo dei sistemi, nell’ottica di un’integrazione totale tra i diversi ambienti della casa."
52392,"DROP","Elegante e prezioso, Drop è uno specchio rotondo dalle dimensioni generose. È caratterizzato dalla cornice in cuoio, che incorpora la cinghia con cui si appende alla parete.","Elegante e prezioso, Drop è uno specchio rotondo dalle dimensioni generose. È caratterizzato dalla cornice in cuoio, che incorpora la cinghia con cui si appende alla parete."
18519,"RELIEF","Il tappeto Relief unisce all’effetto cannettato un decoro perimetrale, ottenuto tagliando il vello ad altezze diverse. Disponibile nei colori perla, cammello e tortora, è realizzato in un blend di lana himalayana e seta di bambù, una combinazione che enfatizza la morbidezza e la piacevolezza al tatto.","Il tappeto Relief unisce all’effetto cannettato un decoro perimetrale, ottenuto tagliando il vello ad altezze diverse. Disponibile nei colori perla, cammello e tortora, è realizzato in un blend di lana himalayana e seta di bambù, una combinazione che enfatizza la morbidezza e la piacevolezza al tatto."
50982,"CANNELÉ","Cannelé è un tappeto bicolore caratterizzato dal motivo rigato. A definire più precisamente le righe è la giustapposizione di due lavorazioni – bouclé per il nero, vello tagliato a mano per il perla. La trama è realizzata in cotone, il vello in lana himalayana e seta di bambù, il bouclé in lana himalayana. Il tappeto è fatto a mano con la tradizionale tecnica handloom.","Cannelé è un tappeto bicolore caratterizzato dal motivo rigato. A definire più precisamente le righe è la giustapposizione di due lavorazioni – bouclé per il nero, vello tagliato a mano per il perla. La trama è realizzata in cotone, il vello in lana himalayana e seta di bambù, il bouclé in lana himalayana. Il tappeto…"
18497,"TRATTO","Tratto è un tappeto dal design contemporaneo, realizzato in un blend di lana himalayana, morbida al tatto, e seta di bambù, che lo rende cangiante. È caratterizzato dai motivi geometrici e disponibile in tre vibranti combinazioni di colore: ruggine su base tortora, carbone su base tortora e tortora su base carbone, nelle varianti quadrata e rettangolare.","Tratto è un tappeto dal design contemporaneo, realizzato in un blend di lana himalayana, morbida al tatto, e seta di bambù, che lo rende cangiante. È caratterizzato dai motivi geometrici e disponibile in tre vibranti combinazioni di colore: ruggine su base tortora, carbone su base tortora e tortora su base carbone, nelle varianti quadrata e rettangolare."
